"Gruppe";"KredsNr";"StorKredsNr";"LandsdelsNr";"KV2017 - Stemmeberettigede";"KV2017 - Afgivne stemmer";"KV2017 - Blanke stemmer";"KV2017 - Andre ugyldige stemmer";"KV2017 - Gyldige stemmer";"KV2017 - A";"KV2017 - B";"KV2017 - C";"KV2017 - F";"KV2017 - I";"KV2017 - J";"KV2017 - K";"KV2017 - M";"KV2017 - G";"KV2017 - N";"KV2017 - O";"KV2017 - H";"KV2017 - S";"KV2017 - V";"KV2017 - U";"KV2017 - Z";"KV2017 - Ø";"KV2017 - L";"KV2017 - Å";"KV2017 - R";"KV2017 - D";"KV2017 - P";"KV2017 - E";"KV2017 - Q";"KV2017 - Å1";"KV2017 - K2";"KV2017 - K1";"KV2017 - Æ";"KV2017 - W";"KV2017 - Y";"KV2017 - T"
"329014";"39";"5";"2";"50112";"35684";"531";"98";"35055";"9531";"1340";"6036";"1810";"848";"13";"41";"-";"353";"9";"4884";"56";"-";"6566";"-";"-";"1749";"-";"1155";"-";"664";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"330001";"40";"5";"2";"63058";"43894";"653";"101";"43140";"14913";"1231";"961";"2581";"1184";"-";"73";"-";"213";"-";"5861";"77";"-";"12552";"-";"-";"1790";"-";"618";"-";"1067";"-";"19";"-";"-";"-";"-";"-";"-";"-";"-"
"350003";"34";"5";"2";"68199";"50744";"589";"135";"50020";"14967";"1023";"6443";"6321";"1465";"-";"-";"-";"22";"65";"4192";"-";"-";"11006";"-";"-";"2227";"383";"731";"-";"723";"-";"452";"-";"-";"-";"-";"-";"-";"-";"-"
"360014";"29";"5";"2";"34834";"23880";"376";"107";"23397";"9272";"165";"447";"1210";"68";"-";"-";"37";"28";"46";"2364";"73";"-";"3861";"251";"-";"967";"2268";"211";"-";"218";"1814";"-";"-";"-";"-";"-";"-";"-";"97";"-"
"370023";"32";"5";"2";"65612";"46687";"607";"162";"45918";"18094";"3057";"2896";"1752";"796";"-";"72";"60";"-";"190";"4188";"16";"-";"11303";"-";"-";"2156";"-";"470";"-";"578";"222";"-";"-";"-";"-";"-";"-";"-";"-";"68"
"376012";"30";"5";"2";"49981";"36044";"470";"194";"35380";"7307";"458";"864";"1454";"90";"63";"111";"-";"11727";"-";"8438";"-";"-";"2941";"-";"-";"1166";"-";"398";"-";"326";"-";"-";"37";"-";"-";"-";"-";"-";"-";"-"
"390010";"31";"5";"2";"37388";"27628";"343";"71";"27214";"10285";"797";"1032";"1486";"166";"-";"64";"-";"-";"-";"2886";"-";"-";"7265";"-";"-";"1399";"417";"774";"-";"561";"-";"-";"-";"-";"-";"-";"-";"-";"45";"37"
"400006";"28";"4";"1";"16449";"12415";"164";"48";"12203";"3666";"414";"104";"443";"140";"-";"584";"-";"-";"-";"1793";"57";"-";"2562";"-";"-";"931";"-";"847";"-";"64";"-";"-";"-";"-";"-";"-";"-";"598";"-";"-"
"400009";"27";"4";"1";"16207";"12280";"186";"39";"12055";"4642";"274";"102";"401";"101";"-";"435";"-";"-";"-";"2010";"40";"-";"1954";"-";"-";"608";"-";"617";"-";"67";"-";"-";"-";"-";"-";"-";"-";"804";"-";"-"
"420022";"44";"6";"2";"32478";"24727";"418";"80";"24229";"6168";"715";"1016";"1442";"470";"-";"-";"-";"-";"-";"2987";"-";"-";"10181";"-";"-";"854";"-";"396";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
